Length	Source
382796	WWTP-I
245476	Manhole
201478	WWTP-I
118350	WWTP-I
264434	WWTP-I
118350	WWTP-I
264436	WWTP-I
118351	WWTP-I
264437	WWTP-I
228459	Fishing water
264901	Pig-I
264371	Pig-I
264512	Pig-I
296781	Pig-I
248442	Pig-I
203272	WWTP-I
118361	WWTP-I
264434	WWTP-I
217030	WWTP-I
217101	WWTP-I
189736	WWTP-I
224431	WWTP-E
231004	WWTP-E
231007	WWTP-E
180565	WWTP-E
243780	WWTP-E
266954	Pig-S
288155	Pig-I
267913	Pig-I
262597	Pig-I
262604	Pig-I
267336	Pig-I
264297	Pig-I
254521	WWTP-I
247626	River
183870	River
271076	River
235068	River
208306	River
198530	WWTP-I
198525	WWTP-I
266855	River
80232	River
177676	WWTP-I
51758	WWTP-I
258180	WWTP-E
227279	BB
246460	WWTP-E
234910	WWTP-I
261094	WWTP-I
139538	WWTP-E
137864	WWTP-E
272006	WWTP-S
247261	WWTP-S
64795	WWTP-E
198523	WWTP-I
198524	WWTP-I
248191	WWTP-I
216875	WWTP-I
216872	WWTP-I
261391	WWTP-I
272534	WWTP-I
160672	WWTP-I
160675	WWTP-I
172865	Pig-I
248445	Pig-I
381542	WWTP-I
331206	Manhole
174144	Manhole
267716	Manhole
251763	WWTP-E
224523	Marine
237137	WWTP-I
317422	Manhole
316715	Manhole
180922	Pig-I
180923	Pig-I
180925	Pig-I
180908	Pig-I
289525	WWTP-E
237232	WWTP-I
201137	WWTP-I
225356	WWTP-I
286006	WWTP-E
280889	Manhole
280887	Manhole
254548	Marine
280771	WWTP-E
41370	Manhole
49765	WWTP-E
49766	WWTP-E
127362	BB
42415	WWTP-I
258316	Pig-I
196068	Manhole
188067	WWTP-E
185628	Pig-I
185629	Pig-I
191646	Pig-I
183141	BB
192252	WWTP-I
192263	WWTP-I
192255	WWTP-I
192255	WWTP-I
247977	Manhole
247812	WWTP-I
84620	Manhole
84287	Manhole
84039	Manhole
90351	Manhole
88083	WWTP-I
144284	WWTP-I
144283	WWTP-I
144285	WWTP-I
144285	WWTP-I
144285	WWTP-I
34524	Fishing water
88707	Fishing water
88088	Pig-I
88091	Pig-I
88102	Pig-I
88098	Pig-I
88097	Pig-I
88085	Pig-I
