Human	Environment	Animal
382796	224431	228459
245476	231004	264901
201478	231007	264371
118350	180565	264512
264434	243780	296781
118350	266954	248442
264436	247626	288155
118351	183870	267913
264437	271076	262597
203272	235068	262604
118361	208306	267336
264434	266855	264297
217030	80232	172865
217101	258180	248445
189736	227279	180922
254521	246460	180923
198530	139538	180925
198525	137864	180908
177676	272006	258316
51758	247261	185628
234910	64795	185629
261094	251763	191646
198523	224523	34524
198524	289525	88707
248191	286006	88088
216875	254548	88091
216872	280771	88102
261391	49765	88098
272534	49766	88097
160672	127362	88085
160675	188067	88099
381542	183141	88100
331206	107502	88094
174144	88457	86765
267716	88398	88091
237137	86577	88440
317422	88390	88099
316715	144298	88086
237232	144299	88087
201137	87233	88091
225356	86803	88110
280889	87426	86990
280887	87256	103043
41370	87232	86711
42415	87242	86717
196068	85950	86525
192252	85320	86308
192263	144299	154168
192255	160463	86783
192255	86020	86727
247977	86031	86296
247812	89565	88862
84620	89614	67863
84287	89605	88086
84039	89612	88087
90351	89614	88095
88083	87970	88086
144284	84590	88087
144283	67920	106212
144285	84600	88072
144285	89655	72113
144285	83999	88990
87949	84076	243567
120143	85313	59547
144623	76971	75967
87353	88867	150743
154935	90193	100190
87364	170343	215630
88830	144295	59342
88838	144297	110781
110599	143491	90498
86696	87573	100953
84574	144292	90495
92125	144292	110776
92902	144299	90493
83567	143486	126464
144298	88031	108766
93113	144300	120093
144291	144299	102566
112125	87029	90493
110927	244583	110790
110928	200991	190048
110938	148271	195724
110930	136479	205537
111023	136479	88601
110590	196741	86424
89214	150239	85245
87949	125201	85235
89624	147918	204654
89752	148224	122169
90229	197508	85239
90603	198136	86416
143491	149660	85239
88059	196899	89377
85438	122073	89663
143487	196850	104041
88064	122213	105694
92482	129547	122556
144285	94341	125296
144298	107183	105959
88371	108288	103130
88186	66867	130294
144298	69236	131158
144289	78591	132208
144298	91569	125190
144277	91569	85231
86996	91570	155096
144292	79705	36940
86502	84313	120834
144290	40341	41034
99119	93014	46712
60106	212614	46563
91485	190049	46568
102752	190048	43931
144298	190042	46700
93141	190051	35626
144285	190047	43097
91662	190042	46708
86246	195717	46712
149700	191322	70972
134471	76285	46713
118775	118893	46703
84886	88113	93311
144395	115000	35626
144283	211292	35628
87268	133277	73585
90306	89593	35626
144308	100813	196664
89786	102911	67848
144301	102910	67843
175982	102909	67846
237518	102909	67848
234016	102912	67844
73344	102908	76819
73342	102905	76820
233858	102909	76824
151274	102910	76809
151282	125168	76825
78540	124549	186174
137187	141243	186166
105923	200376	169490
199433	199095	174978
127328	97675	180639
95799	97679	169535
146967	97668	175174
91478	98997	169482
165660	90613	126990
125758	46387	175379
208053	46398	109514
88039	48596	175002
64690	46569	161696
29255	95785	37673
85320	46568	37665
90933	47396	37666
103215	46569	37666
88106	35626	37669
64239	35617	75330
89652	93291	37661
105670	47258	37673
212311	27983	37677
212309	74019	37668
212310	46912	37672
212308	47021	36880
212309	46965	37672
212309	46969	37672
212309	23650	37665
212308	23648	37673
195273	46941	75222
212311	23654	36739
212311	46715	37668
212310	46723	36574
212311	46716	36565
212304	49658	75010
207065	93345	37551
211420	46574	43390
186056	46401	37235
16176	46400	74951
118892	46401	37672
87892	46400	37672
121262	46401	37672
99971	46401	37665
119549	45738	37673
92802	45736	75239
175453	43931	75058
187011	45736	37673
197502	46708	37671
98846	46707	151647
132287	46568	151647
136394	46568	151649
83467	46563	151650
132864	46568	151173
203156	39416	151647
155641	46570	151648
201359	46569	165477
62833	46564	165280
99135	46567	165190
98876	46569	164986
98872	46565	165161
98867	44908	165473
95289	148111	165473
97980	35956	163069
98937	198424	162449
93725	151999	113891
96840	152445	112569
103395	165590	115625
92859	165596	115617
198507	169340	159885
46568	136922	159884
47397	169241	154915
46569	164686	157832
46564	148322	157818
37590	121756	48100
52903	49210	48100
52890	156141	48094
71920	156133	48100
36028	138838	48090
30790	156148	48100
30790	144098	48100
34234	156148	48100
34320	179436	48095
34234	153983	123653
68003	153214	152316
46569	177974	94854
46569	177508	96162
23455	169172	96187
46517	160392	96171
46539	176240	96168
46569	135872	96158
46564	135861	92910
46176	152427	94179
44853	97070	148398
46569	146472	148384
46559	170853	147924
46568	170901	87063
39532	169958	105344
46553	169810	141114
43025	103800	128283
48342	169575	73723
20561	132934	137722
61334	169215	137238
42290	163305	34662
46566	148931	60051
46369	97793	135610
169034	168909	120894
169034	147164	111141
154000	147211	111140
174409	147164	110354
166378	168907	111142
156149	108816	112461
156150	167910	111008
161390	167419	110887
156147	109611	120907
156148	167428	129256
126227	167215	13055
156147	167212	128610
156150	37673	53323
156141	37673	53348
182017	37672	52370
146557	37640	47558
143294	37673	40717
146552	30188	52784
181724	166184	48267
154541	128551	128358
162083	153636	110177
130884	135953	114631
159360	154091	104923
178452	159956	39521
151460	159966	46683
163914	159963	124348
155169	138656	110120
121782	142045	66749
176140	142038	66749
160333	133590	66751
144803	133589	115045
117629	140054	116392
172595	142708	115766
138565	140619	115202
138568	161535	114994
138570	159963	83970
137127	114230	114928
28932	122732	114979
164048	117575	115733
138568	121029	115515
138572	131975	91270
166983	156529	117765
166331	156556	117637
166987	155254	117634
166986	154938	117555
166982	154454	116630
165992	154454	115085
158978	80954	115087
158981	123565	115926
108621	103341	58844
169695	102321	111136
58818	102313	115508
73957	83517	114719
148865	83314	57651
148866	137450	83605
120907	83173	110466
138059	83173	98026
158033	151834	112747
119637	151211	112651
120876	150372	17685
123061	151202	35212
6575	149605	17684
167499	147951	17684
166903	110778	35109
70704	73356	17672
35515	90888	35059
70577	90894	111732
35514	146297	55778
142728	136136	65592
133078	136414	109320
122765	135163	108843
