Contig-gene-ID	Gene-ID
2ndManhole-barcode01-contig_7_188	DQ449578.gene.p01
2ndManhole-barcode02-contig_1_106	DQ449578.gene.p01
2ndManhole-barcode03-contig_2_60	DQ449578.gene.p01
2ndManhole-barcode04-contig_6_47	DQ449578.gene.p01
2ndManhole-barcode05-contig_2_59	EF418608.1.gene1.p01
2ndManhole-barcode06-contig_6_135	DQ449578.gene.p01
2ndManhole-barcode07-contig_8_146	DQ449578.gene.p01
2ndManhole-barcode08-contig_6_25	DQ449578.gene.p01
2ndManhole-barcode09-contig_2_72	DQ449578.gene.p01
2ndManhole-barcode10-contig_1_352	AAY27811
2ndManhole-barcode10-contig_1_346	DQ449578.gene.p01
2ndManhole-barcode11-contig_4_51	DQ449578.gene.p01
2ndManhole-barcode12-contig_2_80	DQ449578.gene.p01
2ndManhole-barcode13-contig_2_128	DQ449578.gene.p01
2ndManhole-barcode14-contig_2_124	DQ449578.gene.p01
2ndManhole-barcode15-contig_14_148	AY156923.1.gene1.p01
2ndManhole-barcode16-contig_3_49	DQ303918.1.gene1.p01
2ndManhole-barcode16-contig_3_56	ABE98197
2ndManhole-barcode17-contig_7_42	DQ449578.gene.p01
2ndManhole-barcode17-contig_7_57	DQ449578.gene.p01
2ndManhole-barcode18-contig_3_101	DQ449578.gene.p01
2ndManhole-barcode19-contig_2_37	DQ449578.gene.p01
2ndManhole-barcode20-contig_1_111	DQ449578.gene.p01
2ndManhole-barcode22-contig_3_101	DQ449578.gene.p01
2ndManhole-barcode23-contig_2_111	DQ449578.gene.p01
2ndManhole-barcode26-contig_3_101	DQ449578.gene.p01
2ndManhole-barcode28-contig_2_36	DQ449578.gene.p01
2ndManhole-barcode32-contig_3_19	DQ449578.gene.p01
2ndManhole-barcode33-contig_3_82	DQ449578.gene.p01
2ndManhole-barcode34-contig_2_8	DQ810789.1.gene1.p01
2ndManhole-barcode35-contig_1_62	DQ449578.gene.p01
2ndManhole-barcode35-contig_7_37	ABU86807
2ndManhole-barcode37-contig_3_40	DQ449578.gene.p01
2ndManhole-barcode39-contig_11_58	AAF72530
2ndManhole-barcode39-contig_9_32	AY156923.1.gene1.p01
2ndManhole-barcode39-contig_9_101	AY156923.1.gene1.p01
2ndManhole-barcode39-contig_9_104	DQ449578.gene.p01
2ndManhole-barcode39-contig_9_35	DQ449578.gene.p01
2ndManhole-barcode40-contig_1_8	AAF72530
2ndManhole-barcode42-contig_5_63	AY156923.1.gene1.p01
2ndManhole-barcode42-contig_5_60	DQ449578.gene.p01
2ndManhole-barcode43-contig_2_57	DQ449578.gene.p01
2ndManhole-barcode44-contig_7_2	AY156923.1.gene1.p01
2ndManhole-barcode44-contig_7_72	AY156923.1.gene1.p01
2ndManhole-barcode44-contig_7_69	DQ449578.gene.p01
2ndManhole-barcode44-contig_8_31	AY156923.1.gene1.p01
2ndManhole-barcode44-contig_8_34	DQ449578.gene.p01
2ndManhole-barcode47-contig_3_23	DQ449578.gene.p01
2ndManhole-barcode48-contig_2_72	EF418608.1.gene1.p01
2ndManhole-barcode48-contig_2_46	DQ449578.gene.p01
2ndManhole-barcode48-contig_5_16	AY156923.1.gene1.p01
2ndManhole-barcode48-contig_5_13	DQ449578.gene.p01
2ndManhole-barcode58-contig_2_87	DQ449578.gene.p01
2ndManhole-barcode73-contig_2_101	DQ449578.gene.p01
2ndManhole-barcode82-contig_3_73	EF418608.1.gene1.p01
2ndManhole-barcode83-contig_2_146	DQ449578.gene.p01
2ndManhole-barcode84-contig_3_3	gi|502364505|ref|WP_012772744.1|
2ndManhole-barcode85-contig_3_2	gi|502364505|ref|WP_012772744.1|
2ndManhole-barcode86-contig_8_13	DQ449578.gene.p01
2ndManhole-barcode88-contig_6_201	DQ449578.gene.p01
ABCD-barcode39-contig_1_4212	AB284167.2.gene1.p01
ABCD-barcode39-contig_5_24	DQ449578.gene.p01
ABCD-barcode40-contig_2_49	DQ810789.1.gene1.p01
ABCD-barcode40-contig_2_61	DQ449578.gene.p01
ABCD-barcode61-contig_3_58	DQ810789.1.gene1.p01
ABCD-barcode61-contig_3_46	DQ449578.gene.p01
ABCD-barcode63-contig_3_172	DQ810789.1.gene1.p01
ABCD-barcode63-contig_3_166	DQ449578.gene.p01
ABCD-barcode63-contig_4_21	DQ303918.1.gene1.p01
ABCD-barcode65-contig_4_64	DQ810789.1.gene1.p01
ABCD-barcode65-contig_4_52	DQ449578.gene.p01
ABCD-barcode66-contig_2_23	DQ810789.1.gene1.p01
ABCD-barcode69-contig_2_45	DQ449578.gene.p01
ABCD-barcode70-contig_1_13	DQ810789.1.gene1.p01
ABCD-barcode70-contig_1_27	DQ449578.gene.p01
ABCD-barcode71-contig_13_8	DQ810789.1.gene1.p01
ABCD-barcode72-contig_2_5	DQ810789.1.gene1.p01
ABCD-barcode73-contig_1_1272	DQ810789.1.gene1.p01
ABCD-barcode74-contig_1_1174	DQ810789.1.gene1.p01
ABCD-barcode76-contig_1_3619	DQ810789.1.gene1.p01
ABCD-barcode77-contig_1_5	DQ449578.gene.p01
ABCD-barcode77-contig_4_45	DQ810789.1.gene1.p01
ABCD-barcode80-contig_1_369	DQ810789.1.gene1.p01
ABCD-barcode80-contig_1_5	DQ449578.gene.p01
ABCD-barcode81-contig_2_1174	DQ810789.1.gene1.p01
ABCD-barcode83-contig_2_5	DQ449578.gene.p01
ABCD-barcode83-contig_4_121	DQ810789.1.gene1.p01
ABCD-barcode84-contig_1_5	DQ449578.gene.p01
ABCD-barcode84-contig_5_122	DQ810789.1.gene1.p01
ABCD-barcode86-contig_2_1175	DQ810789.1.gene1.p01
FW-Pig-barcode05-contig_1_44	DQ810789.1.gene1.p01
FW-Pig-barcode05-contig_1_56	DQ449578.gene.p01
FW-Pig-barcode05-contig_3_86	EF418608.1.gene1.p01
FW-Pig-barcode05-contig_3_32	DQ449578.gene.p01
FW-Pig-barcode09-contig_3_40	DQ449578.gene.p01
FW-Pig-barcode09-contig_4_52	AY156923.1.gene1.p01
FW-Pig-barcode24-contig_3_136	DQ449578.gene.p01
FW-Pig-barcode32-contig_3_12	DQ810789.1.gene1.p01
FW-Pig-barcode37-contig_2_29	ABU86807
FW-Pig-barcode37-contig_7_17	DQ810789.1.gene1.p01
FW-Pig-barcode37-contig_7_5	DQ449578.gene.p01
FW-Pig-barcode50-contig_1_37	DQ449578.gene.p01
FW-Pig-barcode50-contig_2_79	DQ810789.1.gene1.p01
FW-Pig-barcode51-contig_1_30	DQ810789.1.gene1.p01
FW-Pig-barcode51-contig_3_89	DQ449578.gene.p01
FW-Pig-barcode52-contig_3_133	DQ449578.gene.p01
FW-Pig-barcode52-contig_8_16	DQ810789.1.gene1.p01
FW-Pig-barcode53-contig_10_81	DQ810789.1.gene1.p01
FW-Pig-barcode53-contig_2_82	DQ449578.gene.p01
FW-Pig-barcode54-contig_13_99	JN227085.1.gene1.p01
FW-Pig-barcode54-contig_13_1	gb|WP_148044409.1|ARO:3005650|CTX-M-227
FW-Pig-barcode54-contig_14_78	DQ449578.gene.p01
FW-Pig-barcode56-contig_5_77	DQ810789.1.gene1.p01
FW-Pig-barcode58-contig_5_31	DQ810789.1.gene1.p01
FW-Pig-barcode58-contig_6_111	DQ810789.1.gene1.p01
FW-Pig-barcode58-contig_9_71	ABE98197
FW-Pig-barcode59-contig_10_71	DQ810789.1.gene1.p01
FW-Pig-barcode59-contig_11_32	DQ449578.gene.p01
FW-Pig-barcode60-contig_11_79	DQ449578.gene.p01
FW-Pig-barcode60-contig_14_5	gb|WP_136512065.1|ARO:3005649|CTX-M-226
FW-Pig-barcode60-contig_14_6	EU402393.1.gene1.p1
FW-Pig-barcode61-contig_7_64	DQ810789.1.gene1.p01
FW-Pig-barcode61-contig_8_78	DQ449578.gene.p01
FW-Pig-barcode62-contig_2_65	DQ449578.gene.p01
FW-Pig-barcode62-contig_8_37	DQ810789.1.gene1.p01
FW-Pig-barcode65-contig_1_12	DQ810789.1.gene1.p01
FW-Pig-barcode65-contig_2_78	DQ449578.gene.p01
FW-Pig-barcode66-contig_6_259	DQ810789.1.gene1.p01
FW-Pig-barcode66-contig_6_252	DQ449578.gene.p01
