Plasmid-ID	Host	Niche	Source	Length	Circular	Conj_type	Plasmidfinder_type	Copy_number	ARG_number	ARG_Type_Subtype	unique_type	unique_subtype	carrying_VF_num	Selection
2ndManhole-barcode01-contig_7	2ndManhole-barcode01	Human	Manhole	212311	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.577026708	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
2ndManhole-barcode02-contig_1	2ndManhole-barcode02	Human	Manhole	212309	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.59303121	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
2ndManhole-barcode03-contig_2	2ndManhole-barcode03	Human	Manhole	151274	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.424985734	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
2ndManhole-barcode04-contig_5	2ndManhole-barcode04	Human	Manhole	6237	Y	mob_unconj		3.497770611	0		0	0	0	N
2ndManhole-barcode04-contig_6	2ndManhole-barcode04	Human	Manhole	151282	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.41849004	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
2ndManhole-barcode04-contig_7	2ndManhole-barcode04	Human	Manhole	4012	Y	mob_unconj		5.414893746	0		0	0	0	N
2ndManhole-barcode05-contig_2	2ndManhole-barcode05	Human	Manhole	78540	Y	unmob	IncFIB(AP001918), IncFIC(FII)	0.554805656	5	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__CTX-M-65, sulfonamide__sul2, tetracycline__tet(A)	4	5	6	N
2ndManhole-barcode06-contig_6	2ndManhole-barcode06	Human	Manhole	212310	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.586256133	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	12	N
2ndManhole-barcode07-contig_8	2ndManhole-barcode07	Human	Manhole	212308	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.652385528	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
2ndManhole-barcode08-contig_6	2ndManhole-barcode08	Human	Manhole	212309	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.614006296	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	11	N
